stop_id,	stop_code,	stop_name,	stop_desc,	stop_lat,	stop_lon,	zone_id,	stop_url

Stop ID is used with the Stop Time. At a certain departure time, look for what departure times 
1597R,,"Lockwood & Graham Hill",,  37.037643,-122.041733,,
1598R,,"Lockwood & Graham Hill",,  37.038017,-122.041664,,
1599R,,"Lockwood & Estrella",,  37.042652,-122.037285,,
1600R,,"Lockwood & Estrella (#495)",,  37.043121,-122.036919,,
1601R,,"Lockwood & Locke Wy",,  37.046795,-122.035309,,
1602R,,"Lockwood & Sterling (#201-323)",,  37.047222,-122.035034,,
1603R,,"Lompico Rd & E Zayante",,  37.083023,-122.050880,,
1604R,,"Lompico Rd & West Dr",,  37.104912,-122.051636,,
1615R,,"McLaughlin & Science Hill (UCSC)",,  36.999973,-122.062332,,
1616R,,"McLaughlin & College 9 & 10 - Health Center",,  36.999924,-122.058319,,
1617R,,"McLaughlin & Crown College (UCSC)",,  36.999008,-122.055176,,
1619R,,"Mission & Miramar (Safeway)",,  36.962132,-122.044601,,
1620R,,"Mission & Miramar (Safeway)",,  36.962399,-122.044502,,
1621R,,"Mission & Bellevue (Berkshire)",,  36.963520,-122.042831,,
1623R,,"Mission & Palm Center",,  36.965111,-122.041534,,
1624R,,"Mission & Olive (Longs)",,  36.965073,-122.041832,,
1625R,,"Mission & Bay/Trescony",,  36.967289,-122.039131,,
1629R,,"Mission & Laurel",,  36.969170,-122.037437,,
1630R,,"Mission & Laurel",,  36.969028,-122.037788,,
1631R,,"Mission & Rigg",,  36.970787,-122.036392,,
1633R,,"Mission & Otis",,  36.970921,-122.036552,,
1638R,,"Mission & Sylvar",,  36.977268,-122.030281,,
1647R,,"Mt Hermon Rd & Covenant Ln",,  37.055664,-122.061325,,
1648R,,"Mt Hermon Rd & Conference Dr",,  37.053524,-122.039589,,
1649R,,"Mt Hermon Rd & Conference Dr",,  37.054188,-122.039986,,
1650R,,"Mt Hermon Rd & Lockhart Gulch",,  37.049770,-122.036583,,
1651R,,"Mt Hermon Rd & Lockhart Gulch",,  37.050823,-122.037148,,
1652R,,"Mt Hermon Rd & Kings Village",,  37.045650,-122.027496,,
1653R,,"Mt Hermon Rd & Graham Plaza",,  37.044693,-122.026665,,
1654R,,"Mt Hermon Rd & Whispering Pines (KFC)",,  37.042404,-122.024902,,
1658R,,"Murray & Seabright",,  36.967262,-122.007477,,
1664R,,"Ocean & Water",,  36.979939,-122.021240,,
1665R,,"Ocean & Blaine",,  36.980957,-122.021980,,
1666R,,"Ocean & Hubbard",,  36.982430,-122.022217,,
1667R,,"Ocean & Franklin",,  36.983929,-122.023132,,
1668R,,"Ocean  Ext. & Jewell",,  36.988060,-122.026291,,
1669R,,"Ocean Ext. & Jewell",,  36.987923,-122.026413,,
1671R,,"Pine Flat & Empire Grade",,  37.078445,-122.133873,,
1672R,,"Pine Flat & Empire Grade",,  37.078674,-122.133743,,
1673R,,"Playa & Estrella",,  36.937351,-121.862396,,
1674R,,"Playa & Palma",,  36.938965,-121.859962,,
1675R,,"Playa & San Andreas",,  36.940403,-121.858971,,
1676R,,"Playa & Arbolada",,  36.940422,-121.859268,,
1677R,,"Plymouth & Ocean (Comfort Inn)",,  36.985016,-122.023018,,
1678R,,"Pool Dr & Highway 9 (Mountain Store)",,  37.154930,-122.133217,,
1681R,,"Portola & 18th",,  36.962605,-121.987198,,
1682R,,"Portola & Coastview",,  36.962486,-121.983597,,
1683R,,"Portola & 21st",,  36.962254,-121.984566,,
1685R,,"Portola & 24th",,  36.962967,-121.980385,,
1686R,,"Portola & 26th (Trailer Haven MHP)",,  36.963348,-121.974937,,
1687R,,"Portola & 30th",,  36.963566,-121.973892,,
1688R,,"Portola & 30th",,  36.963345,-121.972389,,
1690R,,"Portola & 35th",,  36.963554,-121.971924,,
1692R,,"Portola & 37th",,  36.963535,-121.968834,,
1693R,,"Portola & 37th",,  36.963318,-121.968773,,
1703R,,"Rio Del Mar & Cliff/Kingsbury",,  36.968151,-121.901215,,
